method,path,handler_file,handler_func,handler_domain,disposition,dependency_group,verification_requirement,notes
GET,/healthz,router.go,handleHealthz,infrastructure,migrated,infrastructure,status-200,
GET,/readyz,router.go,handleReadyz,infrastructure,migrated,infrastructure,status-200,
POST,/api/register,auth_handler.go,handleRegister,auth,migrated,auth,shape+semantics,
POST,/api/login,auth_handler.go,handleLogin,auth,migrated,auth,shape+semantics,
GET,/api/bonds/,bond_handler.go,handleListBonds,bond,migrated,bond,shape+semantics,
POST,/api/bonds/,bond_handler.go,handleCreateBond,bond,migrated,bond,shape+semantics,
GET,/api/bonds/{bondId}/,bond_handler.go,handleGetBond,bond,migrated,bond,shape+semantics,
GET,/api/v2/companies/me/warehouse/,warehouse_handler.go,handleGetMyWarehouse,warehouse,migrated,warehouse,shape+semantics,
GET,/api/v2/companies/me/cashflow/recent/,finance_handler.go,handleRecentCashflow,finance,migrated,finance,shape+semantics,
GET,/api/v2/companies/me/income-statement/,finance_handler.go,handleIncomeStatement,finance,migrated,finance,shape+semantics,
GET,/api/v2/companies/me/balance-sheet/,finance_handler.go,handleBalanceSheet,finance,migrated,finance,shape+semantics,
GET,/api/v2/companies/me/cashflow-statement/,finance_handler.go,handleCashflowStatement,finance,migrated,finance,shape+semantics,
POST,/api/v2/market-order/,market_handler.go,handleCreateOrder,market,migrated,market,shape+semantics,
DELETE,/api/v2/market-order/cancel/{orderId}/,market_handler.go,handleCancelOrder,market,migrated,market,shape+semantics,
POST,/api/v2/market-order/take/,market_handler.go,handleTakeOrder,market,migrated,market,shape+semantics,
GET,/api/v2/players/me/companies/,company_handler.go,handleListMyCompanies,company,migrated,company,shape+semantics,
GET,/api/v2/production/jobs/,production_handler.go,handleListProductionJobs,production,migrated,production,shape+semantics,
POST,/api/v2/production/start/,production_handler.go,handleStartProduction,production,migrated,production,shape+semantics,
POST,/api/v2/production/claim/{jobId}/,production_handler.go,handleClaimProduction,production,migrated,production,shape+semantics,
GET,/api/v2/production/claimable/,production_handler.go,handleListClaimableJobs,production,migrated,production,shape+semantics,
GET,/api/v2/production/queue/,production_handler.go,handleProductionQueue,production,migrated,production,shape+semantics,
POST,/api/v2/production/cancel/,production_handler.go,handleCancelProduction,production,migrated,production,shape+semantics+side-effects,
POST,/api/v2/production/claim-all/,production_handler.go,handleClaimAll,production,migrated,production,shape+semantics+side-effects,
GET,/api/v2/buildings/{buildingId}/production-options/,production_handler.go,handleProductionOptions,production,migrated,production,shape,
GET,/api/v2/companies/me/bonds/owned/,bond_handler.go,handleGetOwnedBonds,bond,migrated,bond,shape+semantics,
GET,/api/v2/companies/me/bonds/sold/,bond_handler.go,handleGetSoldBonds,bond,migrated,bond,shape+semantics,
GET,/api/v3/companies/me/buildings/,building_handler.go,handleListMyBuildings,building,migrated,buildings,shape+semantics,
GET,/api/v3/resources/,market_handler.go,handleResources,market,migrated,resources,shape,
GET,/api/v3/companies/me/past-finances/,finance_handler.go,handlePastFinances,finance,migrated,finance,shape+semantics,
GET,/api/v3/market-ticker/{resourceId}/,market_handler.go,handleMarketTicker,market,migrated,market,shape+semantics+side-effects,
GET,/api/v3/market-depth/{resourceId}/{quality}/,market_handler.go,handleMarketDepth,market,migrated,market,shape+semantics+side-effects,
GET,/api/v3/market/{resourceId}/{quality}/,market_handler.go,handleMarketOrders,market,migrated,market,shape+semantics+side-effects,

GET,/api/v2/buildings/market/,building_handler.go,handleBuildingMarket,building,migrated,buildings,shape+semantics,
POST,/api/v2/buildings/buy/,building_handler.go,handleBuyBuilding,building,migrated,buildings,shape+semantics+side-effects,
POST,/api/v2/buildings/place/,building_handler.go,handlePlaceBuilding,building,migrated,buildings,shape+semantics+side-effects,
POST,/api/v2/buildings/move/,building_handler.go,handleMoveBuilding,building,migrated,buildings,shape+semantics+side-effects,
POST,/api/v2/buildings/demolish/,building_handler.go,handleDemolishBuilding,building,migrated,buildings,shape+semantics+side-effects,
POST,/api/v1/buildings/{buildingId}/upgrade/,building_handler.go,handleUpgradeBuilding,building,migrated,buildings,shape+semantics+side-effects,
POST,/api/v1/buildings/{buildingId}/busy/,production_handler.go,handleStartProductionV1,production,migrated,production,shape+semantics+side-effects,
GET,/api/v2/companies/me/buildings/,building_handler.go,handleListMyBuildingsV2,building,migrated,buildings,shape+semantics,
POST,/api/v2/companies/me/warehouse/upgrade/,warehouse_handler.go,handleUpgradeWarehouse,warehouse,migrated,warehouse,shape+semantics+side-effects,
