legacy_path,method,handler_file,handler_func,frontend_callsite,migrated_path,disposition,dependency_group,verification_requirement,backend_next_owner,method_ambiguity
/healthz,GET,health.go,(anonymous),none,/healthz,migrated,infrastructure,status-200,/healthz,exact
/readyz,GET,health.go,(anonymous),none,/readyz,migrated,infrastructure,status-200,/readyz,exact
/api/register,POST,auth.go,handleRegister,company.api.ts:useRegister,/api/register,migrated,auth,shape+semantics,/api/register,exact
/api/login,POST,auth.go,handleLogin,company.api.ts:useLogin,/api/login,migrated,auth,shape+semantics,/api/login,exact
/api/csrf/,any,company.go,handleCSRF,none,none,retire-candidate,auth,none,none,prefix
/api/v2/players/me/companies/,any,company.go,handlePlayersMeCompanies,none,/api/v2/players/me/companies/,migrated,company,shape+semantics,/api/v2/players/me/companies/,prefix
/api/v2/players/,any,company.go,handlePlayersByID,save_preferences uses /api/v2/players/{id}/preferences/,none,remaining-core,company,shape,none,prefix
/api/v2/companies/me/buildings/,any,company.go,handleCompaniesMeBuildings,buildings.api.ts:useBuildings,none,remaining-core,buildings,shape,none,prefix
/api/v2/companies/me/administration-overhead/,any,company.go,handleAdminOverhead,none,none,remaining-core,company,shape,none,prefix
/api/v3/companies/,any,company.go,handleV3Companies,company.api.ts:useCompany /api/v3/companies/{id}/,none,remaining-core,company,shape,none,internal-switch
/api/v2/companies/,any,company.go,handleV2Companies,useCompanyBuildings /api/v2/companies/{id}/buildings/,none,remaining-core,company,shape,none,internal-switch
/api/v2/companies/me/warehouse/,any,company.go,handleWarehouse,inventory.api.ts:useWarehouse,/api/v2/companies/me/warehouse/,migrated,warehouse,shape+semantics,/api/v2/companies/me/warehouse/,prefix
/api/v2/companies/me/tutorial/,POST,company.go,handleCompleteTutorial,company.api.ts:useCompleteTutorial,none,remaining-core,company,shape,none,exact
/api/v2/companies/me/auctions/,any,company.go,handleMyAuctions,none,none,remaining-core,auction,shape+semantics,none,prefix
/api/v2/auctions/,any,company.go,handleAuctions,none,none,remaining-core,auction,shape+semantics,none,internal-switch
/api/v2/executives/search/,POST,company.go,handleExecSearch,executives.api.ts:useExecutiveSearch+useMyExecutives,none,deferred-plugin,executives,shape,none,exact
/api/v2/executives/recruit/,POST,company.go,handleExecRecruit,executives.api.ts:useRecruitExecutive,none,deferred-plugin,executives,shape,none,exact
/api/v2/executives/train/,POST,company.go,handleExecTrain,executives.api.ts:useTrainExecutive,none,deferred-plugin,executives,shape,none,exact
/api/v3/executives/poach/,POST,company.go,handleExecPoach,none,none,deferred-plugin,executives,none,none,exact
/api/v3/executives/offers/,any,company.go,handleExecOffers,none,none,deferred-plugin,executives,none,none,internal-switch
/api/v3/executives/,GET,company.go,handleV3ExecutiveByID,executives.api.ts:useExecutiveDetail,none,deferred-plugin,executives,shape,none,exact
/api/v2/companies/me/income-statement/,any,financial.go,handleIncomeStatement,financial.api.ts:useIncomeStatement,/api/v2/companies/me/income-statement/,migrated,finance,shape+semantics,/api/v2/companies/me/income-statement/,prefix
/api/v2/companies/me/balance-sheet/,any,financial.go,handleBalanceSheet,financial.api.ts:useBalanceSheet,/api/v2/companies/me/balance-sheet/,migrated,finance,shape+semantics,/api/v2/companies/me/balance-sheet/,prefix
/api/v2/companies/me/cashflow-statement/,any,financial.go,handleCashflowStatement,financial.api.ts:useCashflowStatement,/api/v2/companies/me/cashflow-statement/,migrated,finance,shape+semantics,/api/v2/companies/me/cashflow-statement/,prefix
/api/v2/companies/me/cashflow/recent/,any,financial.go,handleRecentCashflow,financial.api.ts:useRecentCashflow,/api/v2/companies/me/cashflow/recent/,migrated,finance,shape+semantics,/api/v2/companies/me/cashflow/recent/,prefix
/api/v2/companies/me/past-finances-overview/,any,financial.go,handlePastFinancesOverview,none,none,remaining-core,finance,shape,none,prefix
/api/v3/companies/me/past-finances/,any,financial.go,handlePastFinances,financial.api.ts:usePastFinances,/api/v3/companies/me/past-finances/,migrated,finance,shape+semantics,/api/v3/companies/me/past-finances/,prefix
/api/v2/companies/me/achievements/,any,player.go,handleAchievements,none,none,remaining-core,progression,shape,none,prefix
/api/v2/no-cache/companies/me/achievements/,any,player.go,handleNoCacheAchievements,none,none,remaining-core,progression,shape,none,prefix
/api/v2/no-cache/companies/achievements/,DELETE,player.go,handleDeleteAchievements,none,none,remaining-core,progression,none,none,exact
/api/v2/players/simboosts-use/,any,player.go,handleSimboostsUse,powerup.api.ts:useActivePowerup+useActivatePowerup,none,remaining-core,progression,shape+semantics,none,internal-switch
/api/v2/players/simboosts/,any,player.go,handleSimboostTypes,powerup.api.ts:usePowerupTypes,none,remaining-core,progression,shape,none,prefix
/api/v2/players/unlocked-hqs/,any,player.go,handleUnlockedHQs,none,none,remaining-core,progression,shape,none,prefix
/api/v2/players/devices/,any,player.go,handlePlayerDevices,none,none,retire-candidate,progression,none,none,prefix
/api/v2/players/me/level/,any,player.go,handleLevel,company.api.ts:usePlayerLevel,none,remaining-core,progression,shape,none,prefix
/api/v2/players/me/xp/,POST,player.go,handlePlayerAddXP,none,none,remaining-core,progression,shape+semantics,none,exact
/api/v2/players/me/level-rewards/,any,player.go,handlePlayerLevelRewards,none,none,remaining-core,progression,shape,none,prefix
/api/v2/players/me/offline-income/,any,player.go,handleOfflineIncome,none,none,remaining-core,progression,shape,none,prefix
/api/v3/market-ticker/,any,market.go,handleMarketTicker,market.api.ts:useMarketTicker,/api/v3/market-ticker/{resourceId}/,migrated,market,shape+semantics+side-effects,/api/v3/market-ticker/{resourceId}/,prefix
/api/v3/market/,any,market.go,handleMarketOrderbook,market.api.ts:useMarketOrders,/api/v3/market/{resourceId}/{quality}/,migrated,market,shape+semantics+side-effects,/api/v3/market/{resourceId}/{quality}/,prefix
/api/v2/market-order/,any,market.go,handleCreateOrder,market.api.ts:useCreateOrder,/api/v2/market-order/,migrated,market,shape+semantics,/api/v2/market-order/,prefix
/api/v2/market-order/cancel/,DELETE,market.go,handleCancelOrder,market.api.ts:useCancelOrder,/api/v2/market-order/cancel/{orderId}/,migrated,market,shape+semantics,/api/v2/market-order/cancel/{orderId}/,exact
/api/market/buy/orders/,POST,market.go,handleMarketBuyOrders,none,none,remaining-core,market,shape,none,exact
/api/v2/market-order/take/,any,market.go,handleTakeOrder,market.api.ts:useTakeOrder,/api/v2/market-order/take/,migrated,market,shape+semantics,/api/v2/market-order/take/,prefix
/api/v2/weather/,any,market.go,handleWeather,none,none,remaining-core,market,shape,none,prefix
/api/v3/market-depth/,any,market.go,handleMarketDepth,market.api.ts:useMarketDepth,/api/v3/market-depth/{resourceId}/{quality}/,migrated,market,shape+semantics+side-effects,/api/v3/market-depth/{resourceId}/{quality}/,prefix
/api/v2/production-modifiers/,any,market.go,handleProductionModifiers,none,none,remaining-core,production,shape,none,prefix
/api/v3/resources/,any,market.go,handleResources,market.api.ts:useResources,/api/v3/resources/,migrated,resources,shape,/api/v3/resources/,prefix
/api/v3/resources-info/,any,market.go,handleResourceInfo,none,none,remaining-core,resources,shape,none,prefix
/api/v1/buildings/,any,production.go,handleV1Buildings,buildings.api.ts:useUpgradeBuilding+production.api.ts:useStartProduction,none,remaining-core,buildings,shape+semantics,none,internal-switch
/api/v2/buildings/,any,production.go,handleV2Buildings,production.api.ts:useProductionOptions,none,remaining-core,production,shape,none,internal-switch
/api/v2/production/jobs/,any,production.go,handleProductionJobs,production.api.ts:useProductionJobs,/api/v2/production/jobs/,migrated,production,shape+semantics,/api/v2/production/jobs/,prefix
/api/v2/production/claim/,POST,production.go,handleClaimProduction,production.api.ts:useClaimProduction,/api/v2/production/claim/{jobId}/,migrated,production,shape+semantics,/api/v2/production/claim/{jobId}/,exact
/api/v2/production/claimable/,any,production.go,handleClaimable,production.api.ts:useClaimableJobs,/api/v2/production/claimable/,migrated,production,shape+semantics,/api/v2/production/claimable/,prefix
/api/v2/production/claim-all/,any,production.go,handleClaimAll,production.api.ts:useClaimAll,none,remaining-core,production,shape+semantics,none,prefix
/api/v2/production/queue/,any,production_queue.go,handleProductionQueue,production.api.ts:useProductionQueue,none,remaining-core,production,shape,none,prefix
/api/v2/production/slots/add/,any,production_queue.go,handleAddSlot,none,none,remaining-core,production,shape+semantics,none,prefix
/api/v2/production/cancel/,any,production_queue.go,handleCancelProduction,production.api.ts:useCancelJob,none,remaining-core,production,shape+semantics,none,prefix
/api/bonds/settle-interest/,POST,bond.go,handleSettleBondInterest,none,none,remaining-core,bond,shape+semantics,none,exact
/api/bonds/,any,bond.go,handleBonds,none,/api/bonds/+/api/bonds/{bondId}/,migrated,bond,shape+semantics,/api/bonds/,internal-switch
/api/v2/companies/me/bonds/owned/,any,bond.go,handleBondsOwned,none,/api/v2/companies/me/bonds/owned/,migrated,bond,shape+semantics,/api/v2/companies/me/bonds/owned/,prefix
/api/v2/companies/me/bonds/sold/,any,bond.go,handleBondsSold,none,/api/v2/companies/me/bonds/sold/,migrated,bond,shape+semantics,/api/v2/companies/me/bonds/sold/,prefix
/api/v3/government-orders/,any,government.go,handleGovernmentOrders,contracts.api.ts:useGovContracts,none,deferred-plugin,government,shape,none,prefix
/api/v3/government-orders/bid/,POST,government.go,handleGovernmentBid,contracts.api.ts:useBidContract,none,deferred-plugin,government,shape+semantics,none,exact
/api/v3/government-orders/award/,POST,government.go,handleGovernmentAward,none,none,deferred-plugin,government,shape+semantics,none,exact
/api/v3/government-orders/deliver/,POST,government.go,handleGovernmentDeliver,none,none,deferred-plugin,government,shape+semantics,none,exact
/api/v3/government-orders/resolve-defaults/,POST,government.go,handleGovernmentResolveDefaults,none,none,deferred-plugin,government,shape+semantics,none,exact
/api/messages/,any,message.go,handleMessages,chat.api.ts:useMessages,none,remaining-core,social,shape+semantics,none,internal-switch
/api/messages_by_company/,any,message.go,handleMessagesByCompany,none,none,remaining-core,social,shape,none,prefix
/api/v2/message/,any,message.go,handleV2Message,chat.api.ts:useSendMessage,none,remaining-core,social,shape+semantics,none,internal-switch
/api/v2/chatroom/,any,message.go,handleChatroom,chat.api.ts:useChatroom,none,remaining-core,social,shape,none,internal-switch
/api/v2/contacts/,any,message.go,handleContacts,chat.api.ts:useContacts,none,remaining-core,social,shape,none,prefix
/api/v2/newspaper/articles-by-author/,any,message.go,handleNewspaperArticles,none,none,remaining-core,social,shape,none,prefix
/api/v2/newspaper/articles/,any,message.go,handleNewspaperArticleList,none,none,remaining-core,social,shape,none,internal-switch
/api/v2/newspaper/publishing-costs/,any,message.go,handleNewspaperPublishingCosts,none,none,remaining-core,social,shape,none,prefix
/api/v2/recipes/,any,recipe.go,handleRecipes,none,none,remaining-core,recipes,shape,none,prefix
/api/dev/ledger/,any,dev.go,handleDevLedger,none,none,dev-only,dev,shape,none,prefix
/api/dev/formulas/production/,any,dev.go,handleDevFormulasProduction,none,none,dev-only,dev,shape,none,prefix
/api/dev/formulas/retail/,any,dev.go,handleDevFormulasRetail,none,none,dev-only,dev,shape,none,prefix
/api/dev/formulas/retail-season-weather/,any,dev.go,handleDevFormulasRetailSeasonWeather,none,none,dev-only,dev,shape,none,prefix
/api/v4/,any,dev.go,handleV4,none,none,dev-only,dev,shape,none,internal-switch
/api/v3/contracts-incoming/,any,dev.go,handleContractsIncoming,none,none,remaining-core,contracts,shape,none,prefix
/api/v3/contracts-outgoing/me/,any,dev.go,handleContractsOutgoing,none,none,remaining-core,contracts,shape,none,prefix
/api/v2/contracts-history-incoming/,any,dev.go,handleContractsHistoryIncoming,none,none,remaining-core,contracts,shape,none,prefix
/api/v2/contracts-history-outgoing/,any,dev.go,handleContractsHistoryOutgoing,none,none,remaining-core,contracts,shape,none,prefix
/api/v2/warehouse-contracts-summary/,any,dev.go,handleWarehouseContractsSummary,none,none,remaining-core,contracts,shape,none,prefix
/api/v2/research/,any,dev.go,handleResearch,research.api.ts:useResearch,none,deferred-plugin,research,shape,none,prefix
/api/v2/research/start/,POST,dev.go,handleStartResearch,research.api.ts:useStartResearch,none,deferred-plugin,research,shape+semantics,none,exact
/api/v2/research/progress/,any,dev.go,handleResearchProgress,research.api.ts:useResearchProgress,none,deferred-plugin,research,shape,none,prefix
/api/dev/time/,any,dev.go,handleDevTime,none,none,dev-only,dev,shape,none,internal-switch
/api/v2/research/complete/,POST,dev.go,handleCompleteResearch,research.api.ts:useCompleteResearch,none,deferred-plugin,research,shape+semantics,none,exact
/api/v2/aerospace/projects/,any,aerospace.go,handleAerospaceProjects,none,none,deferred-plugin,aerospace,shape,none,prefix
/api/v2/aerospace/projects/create/,POST,aerospace.go,handleAerospaceCreateProject,none,none,deferred-plugin,aerospace,shape+semantics,none,exact
/api/v2/aerospace/launches/,any,aerospace.go,handleAerospaceLaunches,none,none,deferred-plugin,aerospace,shape,none,prefix
/api/v2/aerospace/launch/,POST,aerospace.go,handleAerospaceLaunch,none,none,deferred-plugin,aerospace,shape+semantics,none,exact
/api/v2/aerospace/components/,any,aerospace.go,handleAerospaceComponents,none,none,deferred-plugin,aerospace,shape,none,prefix
/api/v2/leaderboard/,GET,leaderboard.go,handleLeaderboard,leaderboard.api.ts:useLeaderboard,none,remaining-core,leaderboard,shape+semantics,none,exact
/api/v2/buildings/market/,any,building_shop.go,handleBuildingMarket,none,/api/v2/buildings/market/,migrated,buildings,shape,/api/v2/buildings/market/,prefix
