file,function_name,api_path,http_method,supported_workflow,legacy_owner,backend_next_owner,disposition,dependency_group,verification_requirement,source_ref,notes
api/contracts.api.ts,useDailyOrders,/api/v2/orders/daily/,GET,daily-orders-list,/api/v2/orders/daily/,none,remaining-core,daily-orders,shape,api/contracts.api.ts:10,
api/contracts.api.ts,useCompleteDailyOrder,/api/v2/orders/daily/complete/,POST,daily-orders-complete,/api/v2/orders/daily/complete/,none,remaining-core,daily-orders,shape+semantics,api/contracts.api.ts:18,
api/contracts.api.ts,useClaimDailyOrder,/api/v2/orders/daily/claim/,POST,daily-orders-claim,/api/v2/orders/daily/claim/,none,remaining-core,daily-orders,shape+semantics,api/contracts.api.ts:32,
api/contracts.api.ts,useGovContracts,/api/v3/government-orders/,GET,government-contracts-list,/api/v3/government-orders/,none,deferred-plugin,government,shape,api/contracts.api.ts:47,
api/contracts.api.ts,useBidContract,/api/v3/government-orders/bid/,POST,government-contracts-bid,/api/v3/government-orders/bid/,none,deferred-plugin,government,shape+semantics,api/contracts.api.ts:55,
api/production.api.ts,useProductionJobs,/api/v2/production/jobs/,GET,production-job-list,/api/v2/production/jobs/,/api/v2/production/jobs/,migrated,production,shape+semantics,api/production.api.ts:9,
api/production.api.ts,useProductionQueue,/api/v2/production/queue/,GET,production-queue-view,/api/v2/production/queue/,none,remaining-core,production,shape,api/production.api.ts:18,
api/production.api.ts,useClaimableJobs,/api/v2/production/claimable/,GET,production-claimable-list,/api/v2/production/claimable/,/api/v2/production/claimable/,migrated,production,shape+semantics,api/production.api.ts:27,
api/production.api.ts,useProductionOptions,/api/v2/buildings/${buildingId}/production-options/,GET,production-options,/api/v2/buildings/,none,remaining-core,production,shape,api/production.api.ts:35,
api/production.api.ts,useStartProduction,/api/v1/buildings/${buildingId}/busy/,POST,production-start,/api/v1/buildings/,none,remaining-core,buildings,shape+semantics,api/production.api.ts:48,
api/production.api.ts,useClaimProduction,/api/v2/production/claim/${jobId}/,POST,production-claim,/api/v2/production/claim/,/api/v2/production/claim/{jobId}/,migrated,production,shape+semantics,api/production.api.ts:65,
api/production.api.ts,useClaimAll,/api/v2/production/claim-all/,POST,production-claim-all,/api/v2/production/claim-all/,none,remaining-core,production,shape+semantics,api/production.api.ts:81,
api/production.api.ts,useCancelJob,/api/v2/production/cancel/,POST,production-cancel,/api/v2/production/cancel/,none,remaining-core,production,shape+semantics,api/production.api.ts:98,
api/buildings.api.ts,useBuildings,/api/v2/companies/me/buildings/,GET,building-list,/api/v2/companies/me/buildings/,none,remaining-core,buildings,shape,api/buildings.api.ts:9,
api/buildings.api.ts,useCompanyBuildings,/api/v2/companies/${companyId}/buildings/,GET,building-other-view,/api/v2/companies/,none,remaining-core,buildings,shape,api/buildings.api.ts:16,
api/buildings.api.ts,useBuyBuilding,/api/v2/buildings/buy/,POST,building-buy,/api/v2/buildings/buy/,none,remaining-core,buildings,shape+semantics,api/buildings.api.ts:26,
api/buildings.api.ts,usePlaceBuilding,/api/v2/buildings/place/,POST,building-place,/api/v2/buildings/place/,none,remaining-core,buildings,shape+semantics,api/buildings.api.ts:45,
