data_group,legacy_owner,backend_next_owner,storage_interface,domain_types_file,disposition,dependency_group,verification_requirement,notes
Players/Accounts,GameState.Players + model.Player,auth.Player,PlayerStorage (CreatePlayer/GetPlayerByID/GetPlayerByUsername),auth/types.go,migrated,auth,shape+semantics,Full coverage in both; legacy uses full GameState snapshot
AuthSessions,No legacy equivalent (JWT stateless),Planned (auth_sessions table),None yet,None,new-only,auth,none,Backend-next design doc plans auth_sessions for token revocation
Companies,GameState.Companies + model.Company,company.Company,CompanyStorage (CreateCompany/GetCompany/UpdateCompany),company/types.go,migrated,company,shape+semantics,Both sides; backend-next Company includes Buildings and Inventory inline
BotCompanies,GameState.BotCompanies,No separate storage,None,None,retire-candidate,company,shape,Legacy persists separate bot_companies; no BN equivalent needed for MVP
Buildings,model.Company.PlacedBuildings (opaque []map),company.Building + company.Company.Buildings,CompanyStorage (SaveBuilding/RemoveBuilding/GetBuildings),company/types.go,migrated,buildings,shape+semantics,BN has typed Building struct vs legacy opaque map
Inventory/Warehouse,model.Company.Inventory (map[int]int),warehouse.Warehouse + warehouse.Item,CompanyStorage (UpdateInventory) + WarehouseStorage (GetWarehouse),warehouse/types.go,migrated,warehouse,shape+semantics,BN splits into inline Company.Inventory + separate Warehouse
ProductionJobs,GameState.ProductionJobs,production.ProductionJob,ProductionStorage (CreateJob/GetJob/GetJobsByCompany/GetJobsByBuilding/UpdateJob),production/types.go,migrated,production,shape+semantics,Both sides typed; BN adds Slot and ProductionOption DTOs
MarketOrders/OrderBook,GameState.Orders,market.MarketOrder,MarketStorage (CreateOrder/GetOrder/UpdateOrder/GetOpenOrders/GetOrdersByCompany/GetOrdersByResource),market/types.go,migrated,market,shape+semantics,Full coverage in both; BN adds OrderSide/OrderStatus enums
Trades,GameState.Trades,market.Trade,MarketStorage (SaveTrade/GetTrades),market/types.go,migrated,market,shape+semantics,Both sides typed; BN adds buyer/seller fees
Tickers,GameState.MarketTicks (opaque map),market.Ticker,MarketStorage (GetTicker/UpdateTicker/GetTickers),market/types.go,migrated,market,shape+semantics,BN has structured Ticker vs legacy opaque map
