legacy_path,method,method_ambiguity,handler_file,handler_func,frontend_callsite,migrated_path,disposition,dependency_group,verification_requirement,backend_next_owner,notes
/healthz,GET,exact,health.go,(anonymous),none,/healthz,migrated,infrastructure,status-200,/healthz,
/readyz,GET,exact,health.go,(anonymous),none,/readyz,migrated,infrastructure,status-200,/readyz,
/api/register,POST,exact,auth.go,handleRegister,company.api.ts:useRegister,/api/register,migrated,auth,shape+semantics,/api/register,Frontend POST body differs slightly
/api/login,POST,exact,auth.go,handleLogin,company.api.ts:useLogin,/api/login,migrated,auth,shape+semantics,/api/login,Frontend expects token/companyId in response
/api/csrf/,any,prefix,company.go,handleCSRF,none,none,retire-candidate,auth,none,none,Backend-next uses JWT-only; no CSRF needed
/api/v2/players/me/companies/,any,prefix,company.go,handlePlayersMeCompanies,none,/api/v2/players/me/companies/,migrated,company,shape+semantics,/api/v2/players/me/companies/,Frontend does not call directly
/api/v2/players/,any,prefix,company.go,handlePlayersByID,save_preferences uses /api/v2/players/{id}/preferences/,none,remaining-core,company,shape,none,Frontend calls preference path via this prefix; also general player lookup
/api/v2/companies/me/buildings/,any,prefix,company.go,handleCompaniesMeBuildings,buildings.api.ts:useBuildings,none,remaining-core,buildings,shape,none,Frontend expects Building[] response; only v3 has buildings endpoint in backend-next
/api/v2/companies/me/administration-overhead/,any,prefix,company.go,handleAdminOverhead,none,none,remaining-core,company,shape,none,Not called by frontend directly
/api/v3/companies/,any,internal-switch,company.go,handleV3Companies,company.api.ts:useCompany /api/v3/companies/{id}/,none,remaining-core,company,shape,none,Frontend calls with path param; legacy does path routing
/api/v2/companies/,any,internal-switch,company.go,handleV2Companies,useCompanyBuildings /api/v2/companies/{id}/buildings/,none,remaining-core,company,shape,none,Frontend uses for other-company building views
/api/v2/companies/me/warehouse/,any,prefix,company.go,handleWarehouse,inventory.api.ts:useWarehouse,/api/v2/companies/me/warehouse/,migrated,warehouse,shape+semantics,/api/v2/companies/me/warehouse/,
